jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=vaccine_name, 
1006,  2408,  completed,  eof,  2016-02-22 17:59:44,  2016-02-22 17:59:54,  10,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius_3.375.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  466,  3.375,  None,  None,  0.075025,  11,  15,  4,  0.025225,  0.615053763441, 
1006,  2409,  completed,  eof,  2016-02-22 17:59:45,  2016-02-22 17:59:54,  9,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  466,  None,  None,  1,  0.075025,  11,  15,  4,  0.025225,  0.608602150538, 
1006,  2410,  completed,  eof,  2016-02-22 17:59:45,  2016-02-22 17:59:54,  9,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.76250537761.modelParams|clParams|alpha_0.0328351247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0801133922224,  466,  None,  4.76250537761,  None,  0.0328351247259,  10,  13,  2,  0.0801133922224,  0.552688172043, 
1006,  2411,  completed,  eof,  2016-02-22 17:59:52,  2016-02-22 18:00:01,  9,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius_2.16747526299.modelParams|clParams|alpha_0.0106252494518.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.1,  466,  2.16747526299,  None,  None,  0.0106252494518,  9,  13,  2,  0.1,  0.554838709677, 
1006,  2412,  completed,  eof,  2016-02-22 17:59:54,  2016-02-22 18:00:02,  8,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.00958991421899.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0993746412176,  466,  None,  None,  1,  0.00958991421899,  9,  12,  1,  0.0993746412176,  0.539784946237, 
1006,  2413,  completed,  eof,  2016-02-22 17:59:55,  2016-02-22 18:00:03,  8,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.78751613283.modelParams|clParams|alpha_0.0273048752741.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0700366077776,  466,  None,  3.78751613283,  None,  0.0273048752741,  10,  13,  2,  0.0700366077776,  0.567741935484, 
1006,  2424,  completed,  eof,  2016-02-22 17:59:56,  2016-02-22 18:00:07,  11,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.095015,  466,  0.5,  None,  None,  0.0001,  9,  12,  1,  0.095015,  0.563440860215, 
1006,  2425,  completed,  eof,  2016-02-22 18:00:01,  2016-02-22 18:00:09,  8,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.095015,  466,  None,  None,  1,  0.0001,  9,  12,  1,  0.095015,  0.539784946237, 
1006,  2426,  completed,  eof,  2016-02-22 18:00:02,  2016-02-22 18:00:11,  9,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.73749462239.modelParams|clParams|alpha_0.0283753741777.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0802201766672,  466,  None,  4.73749462239,  None,  0.0283753741777,  10,  13,  2,  0.0802201766672,  0.563440860215, 
1006,  2427,  completed,  eof,  2016-02-22 18:00:03,  2016-02-22 18:00:12,  9,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius_3.46061266262.modelParams|clParams|alpha_0.0155254379447.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.1,  466,  3.46061266262,  None,  None,  0.0155254379447,  9,  13,  2,  0.1,  0.565591397849, 
