ARI_actual,ARI_predicted,Malaria_actual,Malaria_predicted
11,0,8,0
6,11,14,8
14,12,6,8
12,7,8,13
11,0,9,20
20,7,0,13
20,17,0,3
20,20,0,0
20,10,0,10
8,20,12,0
2,20,18,0
14,19,6,1
20,14,0,6
18,16,2,4
12,20,8,0
19,16,1,4
20,19,0,1
8,20,12,0
12,16,8,4
12,17,8,3
18,16,2,4
19,19,1,1
20,19,0,1
20,20,0,0
20,20,0,0
18,20,2,0
17,19,3,1
17,18,3,2
15,19,5,1
13,20,7,0
19,20,1,0
17,20,3,0
19,20,1,0
10,20,10,0
18,18,2,2
18,19,2,1
19,20,1,0
