ARI_actual,ARI_predicted,Malaria_actual,Malaria_predicted
6,0,13,0
6,6,14,13
2,12,18,8
3,8,17,12
4,10,16,10
7,1,13,19
4,3,16,17
6,13,14,7
4,4,16,16
14,1,6,19
16,10,4,10
20,5,0,15
19,15,1,5
9,19,11,1
13,7,7,13
20,8,0,12
16,2,4,18
16,4,4,16
